,highway,side,between,time,period,start_loc,end_loc,start_lat,start_lon,end_lat,end_lon,avg_lat,avg_lon,geohash,time_1,time_2
2243,Roncesvalles Avenue,East,A point 9 metres south of Wright Avenue and a point 23 metres further south,"6:00 a.m. to 6:00 p.m., Mon. to Sat.",30 mins. (delivery vehicles parking zone),A point 9 metres south of Wright Avenue , a point 23 metres further south,43.64541900000001,-79.4487015,43.64427000000006,-79.44268999999997,43.64427000000006,-79.44268999999997,dpz821p,6:00 a.m. to 6:00 p.m., Mon. to Sat.
2244,Roncesvalles Avenue,East,A point 9 metres north of Wright Avenue and a point 10 metres further north,"6:00 a.m. to 6:00 p.m., Mon. to Sat.",30 mins. (delivery vehicles parking zone),A point 9 metres north of Wright Avenue , a point 10 metres further north,43.64541900000001,-79.4487015,43.64427000000006,-79.44268999999997,43.64427000000006,-79.44268999999997,dpz821p,6:00 a.m. to 6:00 p.m., Mon. to Sat.
2246,Sidney Belsey Crescent,West,A point 90 metres west of Westpoint Lane (north intersection) and a point 84 metres south,"7:00 a.m. to 9:30 a.m., 11:00 a.m. to 1:00 p.m. and 2:30 p.m. to 4:00 p.m. Mon. to Fri.",15 mins.,A point 90 metres west of Westpoint Lane (north intersection) , a point 84 metres south,43.69207500000002,-79.5086325,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,7:00 a.m. to 9:30 a.m., 11:00 a.m. to 1:00 p.m. and 2:30 p.m. to 4:00 p.m. Mon. to Fri.
2247,McKee Avenue,North,A point 90 metres east of Doris Avenue (east intersection) and Kenneth Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 90 metres east of Doris Avenue (east intersection) , Kenneth Avenue,,,43.77385799999999,-79.40955600000001,43.77385799999999,-79.40955600000001,dpz90bz,8:00 a.m. to 6:00 p.m., Mon. to Fri.
2249,Japonica Road,North,White Abbey Park and a point 45 metres west of White Abbey Park,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,White Abbey Park , a point 45 metres west of White Abbey Park,43.761762,-79.30723049999999,43.761762,-79.30723049999999,43.761762,-79.30723049999999,dpz8gqd,8:00 a.m. to 4:00 p.m., Mon. to Fri.
2250,Woodfield Road,West,A point 64 metres north of Queen Street East and a point 44 metres further north,"8:00 a.m. to 9:00 a.m., 11:15 a.m. to 1:00 p.m. and 3:00 p.m. to 6:00 p.m., Mon. to Fri. except public holidays",10 mins.,A point 64 metres north of Queen Street East , a point 44 metres further north,43.665264,-79.3212705,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,8:00 a.m. to 9:00 a.m., 11:15 a.m. to 1:00 p.m. and 3:00 p.m. to 6:00 p.m.
2251,Woodfield Road,West,A point 123 metres north of Queen Street East and a point 29.4 metres further north,"8:00 a.m. to 9:00 a.m., 11:15 a.m. to 1:00 p.m. and 3:00 p.m. to 6:00 p.m., Mon. to Fri. except public holidays",10 mins.,A point 123 metres north of Queen Street East , a point 29.4 metres further north,43.665264,-79.3212705,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,8:00 a.m. to 9:00 a.m., 11:15 a.m. to 1:00 p.m. and 3:00 p.m. to 6:00 p.m.
2252,Broadview Avenue,East,A point 94 metres north of Queen Street East and a point 11 metres further north,7:00 a.m. to 6:00 p.m. Mon. to Fri.,15 mins.,A point 94 metres north of Queen Street East , a point 11 metres further north,43.65885600000001,-79.349823,0.0,0.0,0.0,0.0,7zzzzzz,7:00 a.m. to 6:00 p.m. Mon. to Fri.,
2253,Macduff Crescent,North,Randall Crescent and 146 metres further west of Randall Crescent,"8:00 a.m. to 4:00 p.m., Monday to Friday, except July, August and Public Holidays",30 mins.,R,all Crescent ,43.725757155465345,-79.24107864634388,43.69526100000001,-79.2923715,43.69526100000001,-79.2923715,dpz8edm,8:00 a.m. to 4:00 p.m., Monday to Friday
2254,Westmoreland Avenue,East,Bloor Street West and a point 19.4 metres north,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Bloor Street West , a point 19.4 metres north,43.660917,-79.43042249999999,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,8:00 a.m. to 6:00 p.m., Mon. to Sat.
