,highway,side,between,time,period,start_loc,end_loc
0,Tenth Street,Both,Lake Shore Blvd W and the first lane south thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane south thereof
1,Eleventh Street,Both,Lake Shore Blvd W and the first lane,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane
3,Thirteenth Street,Both,Lake Shore Boulevard West and the first lane south thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , the first lane south thereof
5,First Street,East,Lake Shore Boulevard West and a point 26 metres south,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , a point 26 metres south
6,Second Street,Both,Lake Shore Blvd W and the first lane south thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane south thereof
7,Thirty Sixth Street,West,Lake Shore Boulevard West and a point 36.5 metres south,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Lake Shore Boulevard West , a point 36.5 metres south
8,Thirty Seventh Street,Both,Lake Shore Boulevard West and a point 36.5 metres south,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Lake Shore Boulevard West , a point 36.5 metres south
9,Thirty Seventh Street,West,Lake Shore Boulevard West and a point 36.5 metres south,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Lake Shore Boulevard West , a point 36.5 metres south
10,Third Street,Both,Lake Shore Boulevard West and the first lane south thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , the first lane south thereof
11,Third Street,Both,Lake Shore Boulevard West and the first lane,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , the first lane
12,Fourth Street,Both,Lake Shore Blvd W and the first lane south,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane south
13,Fourth Street,Both,Lake Shore Blvd W and the first lane north,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane north
14,Fifth Street,Both,Lake Shore Boulevard West and the first lane south,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , the first lane south
15,Fifth Street,Both,Lake Shore Boulevard West and a point 96.4 metres north of Lake Shore Boulevard West,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , a point 96.4 metres north of Lake Shore Boulevard West
16,Sixth Street,East,Lake Shore Boulevard West and a point 6.5 metres north of the lane,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , a point 6.5 metres north of the lane
17,Sixth Street,West,A point 53 metres north of Morrison Street and a point 76 metres north therof,4:00 p.m. to 6:00 p.m.,10 mins.,A point 53 metres north of Morrison Street , a point 76 metres north therof
18,Sixth Street,Both,Lake Shore Blvd W and the first lane south thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane south thereof
19,Sixth Street,West,Lake Shore Blvd W and the first lane north thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane north thereof
20,Seventh Street,Both,Lake Shore Blvd W and the first lane north thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane north thereof
21,Seventh Street,Both,Lake Shore Blvd W and the first lane,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane
22,Eighth Street,Both,Lake Shore Blvd W and the first lane south thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane south thereof
23,Ninth Street,Both,Lake Shore Blvd W and the first lane south thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane south thereof
24,Ninth Street,Both,Lake Shore Blvd W and the first lane north thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane north thereof
25,Abbott Avenue,South,Dundas Street West and Indian Road (south intersection),8:00 a.m. to 6:00 p.m.,1 hour,Dundas Street West , Indian Road (south intersection)
26,Acacia Road,West,Davisville Avenue and Belsize Drive,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Davisville Avenue , Belsize Drive
28,Adelaide Street West,North,Shaw Street and Strachan Avenue,10:00 a.m. to 6:00 p.m.,1 hour,Shaw Street , Strachan Avenue
29,Adelaide Street West,South,Shaw Street and Crawford Street,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Shaw Street , Crawford Street
30,Adelaide Street West,North,Portugal Square and Bathurst Street (south intersection),8:00 a.m. to 6:00 p.m.,1 hour,Portugal Square , Bathurst Street (south intersection)
32,Admiral Road,South and west,St. George Street and Bernard Avenue (west intersection),10:00 a.m. to 6:00 p.m.,1 hour,St. George Street , Bernard Avenue (west intersection)
33,Admiral Road,West,Bernard Avenue (east intersection) and Lowther Avenue,"10:00 a.m. to 6:00 p.m., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Bernard Avenue (east intersection) , Lowther Avenue
34,Adrian Avenue,North,Symington Avenue and Wiltshire Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Symington Avenue , Wiltshire Avenue
36,Aitken Place,East,Scadding Avenue and Longboat Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Scadding Avenue , Longboat Avenue
37,Alameda Avenue,East,A point 91.6 metres north of Vaughan Road and Belvidere Avenue,8:00 a.m. to 7:00 p.m.,1 hour,A point 91.6 metres north of Vaughan Road , Belvidere Avenue
38,Alameda Avenue,East,Lanark Avenue and a point 34 metres south of Eglinton Avenue West,"8:00 a.m. to 6:00 p.m., Mon. to Sat., except public holidays",2 hours,Lanark Avenue , a point 34 metres south of Eglinton Avenue West
39,Alameda Avenue,East,Gloucester Grove (north intersection) and Lanark Avenue,8:00 a.m. to 7:00 p.m.,1 hour,Gloucester Grove (north intersection) , Lanark Avenue
40,Albani Street,South,A point 61 metres east of Dwight Avenue and Royal York Road,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,A point 61 metres east of Dwight Avenue , Royal York Road
41,Albany Avenue,East,A point 51.8 metres north of Bloor Street West and Barton Avenue (south intersection),10:00 a.m. to 9:00 p.m.,1 hour,A point 51.8 metres north of Bloor Street West , Barton Avenue (south intersection)
44,Albert Avenue,East,Lake Shore Boulevard West and a point 39.5 metres northwest,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Lake Shore Boulevard West , a point 39.5 metres northwest
45,Alberta Avenue,West,Benson Avenue and St. Clair Avenue West,"Anytime, Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Benson Avenue , St. Clair Avenue West
47,Albion Avenue,South,Pharmacy Avenue and the west end of Albion Avenue,"7:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Pharmacy Avenue , the west end of Albion Avenue
48,Alcina Avenue,North,Wychwood Avenue and a point 61 metres west of Bathurst Street,"8:00 a.m. to 6:00 p.m., Mon. to Fri., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Wychwood Avenue , a point 61 metres west of Bathurst Street
49,Alcorn Avenue,South,A point 71 metres west of Yonge Street and Walker Avenue,10:00 a.m. to 6:00 p.m.,1 hour,A point 71 metres west of Yonge Street , Walker Avenue
50,Alcorn Avenue,North,Walker Avenue and a point 15 metres east of Oaklands Avenue,10:00 a.m. to 6:00 p.m.,1 hour,Walker Avenue , a point 15 metres east of Oakl
51,Aldridge Avenue,West,Danforth Avenue and Murdock Avenue,"8:00 a.m. to 6:00 p.m., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Danforth Avenue , Murdock Avenue
54,Allanford Road,East,A point 25 metres south of Dempster Street and a point 66 metres further south,"8:00 a.m. to 4:00 p.m., Mon. to Sat.",30 mins.,A point 25 metres south of Dempster Street , a point 66 metres further south
55,Allenbury Gardens,West and south,Kingslake Road (west intersection) and a point 103 metres south of Kingslake Road (east intersection),Anytime,2 hours,Kingslake Road (west intersection) , a point 103 metres south of Kingslake Road (east intersection)
56,Alvin Avenue,East,Heath Street East and a point 30.5 metres north,"Anytime, Mon. to Sat.",1 hour,Heath Street East , a point 30.5 metres north
57,Alvin Avenue,East,Glen Elm Avenue and a point 62.2 metres south,"Anytime, Mon. to Sat.",1 hour,Glen Elm Avenue , a point 62.2 metres south
58,Ambrose Road,West,Maureen Drive and Arrowstook Road,"9:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Maureen Drive , Arrowstook Road
59,Amherst Avenue,South,Glenholme Avenue and a point 52 metres west of Oakwood Avenue,"7:00 a.m. to 7:00 p.m., Mon. to Fri.",12 hours,Glenholme Avenue , a point 52 metres west of Oakwood Avenue
60,Amroth Avenue,West,Oakcrest Avenue and a point 91.4 metres south of Danforth Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Oakcrest Avenue , a point 91.4 metres south of Danforth Avenue
61,Amsterdam Avenue,North,Westview Boulevard and Victoria Park Avenue,"8:00 a.m. to 6:00 p.m., inclusive",1 hour,Westview Boulevard , Victoria Park Avenue
62,Anaconda Avenue,North and west,A point 64 metres west of Birchmount Road and Chestnut Crescent (north intersection),"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,A point 64 metres west of Birchmount Road , Chestnut Crescent (north intersection)
63,Anderson Avenue,South,Oriole Parkway and Eastbourne Avenue,10:00 a.m. to 6:00 p.m.,1 hour,Oriole Parkway , Eastbourne Avenue
64,Anderson Avenue,North,Duplex Avenue and Oriole Parkway,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Duplex Avenue , Oriole Parkway
65,Annesley Avenue,North,Bessborough Drive and Hanna Road,"8:00 a.m. to 6:00 p.m., inclusive except public holidays",1 hour,Bessborough Drive , Hanna Road
66,Annesley Avenue,South,Bessborough Drive and Hanna Road,"8:00 a.m. to 6:00 p.m., inclusive except public holidays",1 hour,Bessborough Drive , Hanna Road
67,Antrim Crescent,South,A point 82 metres northwest of Dundalk Drive and the south limit of the Cul-de-Sac,8:00 a.m. to 4:00 p.m.,30 mins.,A point 82 metres northwest of Dundalk Drive , the south limit of the Cul-de-Sac
68,Antrim Crescent,Both,North limit of the cul-de-sac and south limit of the cul-de-sac,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,North limit of the cul-de-sac , south limit of the cul-de-sac
69,Apex Road,South,A point 150 metres west of Dufferin Street and a point 60 metres west thereof,8:00 a.m. to 9:00 p.m.,1 hour,A point 150 metres west of Dufferin Street , a point 60 metres west thereof
70,Apex Road,North,Dufferin Street and a point 91 metres west,8:00 a.m. to 9:00 p.m.,1 hour,Dufferin Street , a point 91 metres west
71,Appleton Avenue,West,A point 55 metres north of St. Clair Avenue West and Glenhurst Avenue,"8:00 a.m. to 7:00 p.m., from the 16th day of each month to the last day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,A point 55 metres north of St. Clair Avenue West , Glenhurst Avenue
72,Appleton Avenue,East,A point 55 metres north of St. Clair Avenue West and Glenhurst Avenue,"8:00 a.m. to 7:00 p.m., from the 1st day of each month to the 15th day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,A point 55 metres north of St. Clair Avenue West , Glenhurst Avenue
73,Appleton Avenue,West,St. Clair Avenue West and a point 58.2 metres north,"8:00 a.m. to 7:00 p.m., Dec. 1 of one year to Apr. 1 of the next following year, inclusive",1 hour,St. Clair Avenue West , a point 58.2 metres north
74,Appleton Avenue,West,A point 55 metres north of St. Clair Avenue West and Glenhurst Avenue,"8:00 a.m. to 7:00 p.m., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,A point 55 metres north of St. Clair Avenue West , Glenhurst Avenue
75,Archer Road,North,Spadina Road and Dunloe Road,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Spadina Road , Dunloe Road
82,Armadale Avenue,East,Colbeck Street (west intersection) and Annette Street,"8:00 a.m. to 6:00 p.m., Mon. to Sat., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Colbeck Street (west intersection) , Annette Street
83,Armadale Avenue,East,Mayfield Avenue (north intersection) and Bloor Street West,8:00 a.m. to 6:00 p.m.,1 hour,Mayfield Avenue (north intersection) , Bloor Street West
84,Arthur Street,South,Weston Road and the east end of Arthur Street,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Weston Road , the east end of Arthur Street
85,Arundel Avenue,East,A point 87 metres north of Danforth Avenue and Browning Avenue,"9:00 a.m. to 6:00 p.m., Mon. to Fri., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,A point 87 metres north of Danforth Avenue , Browning Avenue
87,Arundel Avenue,East,Mortimer Avenue and a point 47.8 metres south of Nealon Avenue,"8:00 a.m. to 6:00 p.m., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Mortimer Avenue , a point 47.8 metres south of Nealon Avenue
89,Ashbury Avenue,South,Glenholme Avenue and Oakwood Avenue,"7:00 a.m. to 7:00 p.m., Mon. to Fri., from the 1st day of Dec. to the 31st day of Mar., inclusive",12 hours,Glenholme Avenue , Oakwood Avenue
90,Ashbury Avenue,North,Glenholme Avenue and Oakwood Avenue,"7:00 a.m. to 7:00 p.m., Mon. to Fri., from the 16th day of each month to the last day of  each month, Apr. 1 to Nov. 30, inclusive",12 hours,Glenholme Avenue , Oakwood Avenue
91,Ashbury Avenue,South,Glenholme Avenue and Oakwood Avenue,"7:00 a.m. to 7:00 p.m., Mon. to Fri., from the 1st day of each month to the 15th day of each month, Apr. 1 to Nov. 30, inclusive",12 hours,Glenholme Avenue , Oakwood Avenue
92,Ashby Place,East,A point 17 metres northwest of King Street East and a point 38.5 metres further northwest,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,A point 17 metres northwest of King Street East , a point 38.5 metres further northwest
93,Ashdale Avenue,East,Gerrard Street East and Dundas Street East,"Anytime, Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Gerrard Street East , Dundas Street East
94,Ashland Avenue,South,Coxwell Avenue and the east end of Ashland Avenue,Anytime,1 hour,Coxwell Avenue , the east end of Ashl
95,Asquith Avenue,South,A point 9 metres east of Church Street and a point 25 metres further east,"7:00 a.m. to 9:00 a.m., 11:30 a.m. to 1:00 p.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays",15 mins.,A point 9 metres east of Church Street , a point 25 metres further east
96,Atlas Avenue,West,A point 79.4 metres south of Dundurn Crescent and a point 34.6 metres north thereof,"8:00 a.m. to 9:30 a.m., 11:00 a.m. to 1:30 p.m., 2:30 p.m. to 4:30 p.m., Mon. to Fri.",10 mins.,A point 79.4 metres south of Dundurn Crescent , a point 34.6 metres north thereof
97,Atlas Avenue,East,Gloucester Grove and a point 70 metres south of Eglinton Avenue West,"8:00 a.m. to 7:00 p.m., from the 1st day of each month to the 15th day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,Gloucester Grove , a point 70 metres south of Eglinton Avenue West
98,Atlas Avenue,West,Gloucester Grove and a point 61 metres south of Eglinton Avenue West,"8:00 a.m. to 7:00 p.m., from the 16th day of each month to the last day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,Gloucester Grove , a point 61 metres south of Eglinton Avenue West
99,Atlas Avenue,West,Gloucester Grove and a point 61 metres south of Eglinton Avenue West,"8:00 a.m. to 7:00 p.m., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Gloucester Grove , a point 61 metres south of Eglinton Avenue West
100,Atlas Avenue,West,A point 61 metres south of Eglinton Avenue West and Eglinton Avenue West,"8:00 a.m. to 6:00 p.m., Mon. to Sat., except public holidays",2 hours,A point 61 metres south of Eglinton Avenue West , Eglinton Avenue West
101,Atomic Avenue,East,The Queensway and North Queen Street,Anytime,1 hour,The Queensway , North Queen Street
102,August Avenue,West,The south end of  August Avenue and Danforth Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,The south end of  August Avenue , Danforth Avenue
103,August Avenue,West,A point 50 metres north of Danforth Avenue and Denton Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,A point 50 metres north of Danforth Avenue , Denton Avenue
104,Augusta Avenue,East,A point 134 metres north of Wolseley Street and a point 18 metres further north,"7:00 a.m. to 10:00 a.m., 3:00 p.m. to 6:00 p.m., Mon. to Fri.",10 mins.,A point 134 metres north of Wolseley Street , a point 18 metres further north
106,Austin Crescent,South and west,Austin Terrace (north intersection) and the east end of Austin Crescent,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Austin Terrace (north intersection) , the east end of Austin Crescent
107,Ava Road,North,A point 93.5 metres west of Bathurst Street and a point 63 metres west thereof,"8:30 a.m. to 9:15 a.m., 11:15 a.m. to 1:15 p.m., 3:15 p.m. to 3:45 p.m., Mon. to Fri.",15 mins.,A point 93.5 metres west of Bathurst Street , a point 63 metres west thereof
108,Avenal Drive,South,A point 170.4 metres west of Bathurst Street and a point 46.9 metres east thereof,"8:00 a.m. to 9:00 a.m., 2:30 p.m. to 4:00 p.m., Mon. to Fri.",15 mins.,A point 170.4 metres west of Bathurst Street , a point 46.9 metres east thereof
111,Avonhurst Road,East,Dundas Street West and Burnhamthorpe Cres,8:00 a.m. to 5:00 p.m.,1 hour,Dundas Street West , Burnhamthorpe Cres
114,Bainbridge Avenue,North,A point 223 metres west of Yeomans Road and a point 188 metres west thereof,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",30 mins.,A point 223 metres west of Yeomans Road , a point 188 metres west thereof
115,Baker Avenue,West,Lonsdale Road and Walmsley Boulevard,10:00 a.m. to 6:00 p.m.,1 hour,Lonsdale Road , Walmsley Boulevard
116,Baldwin Street,North,Beverley Street and a point 60 metres west,"8:00 a.m. to 9:15 a.m., 2:30 p.m. to 3:30 p.m., Mon. to Fri.",10 mins.,Beverley Street , a point 60 metres west
117,Baldwin Street,North,Beverley Street and McCaul Street,"9:00 a.m. to 4:00 p.m., Mon. to Fri.",1 hour,Beverley Street , McCaul Street
118,Baldwin Street,North,Spadina Avenue and a point 60 metres west of Beverley Street,"9:00 a.m. to 4:00 p.m., Mon. to Fri.",1 hour,Spadina Avenue , a point 60 metres west of Beverley Street
119,Balford Avenue,East,Coventry Street and Danforth Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Coventry Street , Danforth Avenue
120,Balfour Avenue,North,Barrington Avenue and Palmer Street,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Barrington Avenue , Palmer Street
121,Balliol Street,North,Yonge Street and Mount Pleasant Road (west intersection),"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Yonge Street , Mount Pleasant Road (west intersection)
123,Balmoral Avenue,South,Warren Road and a point 30 metres west of Avenue Road,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Warren Road , a point 30 metres west of Avenue Road
124,Bannockburn Avenue,South,Kelso Avenue and a point 152.5 metres west of Kelso Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Kelso Avenue , a point 152.5 metres west of Kelso Avenue
125,Barrie Avenue,North,A point 102 metres west of Atlas Avenue and Atlas Avenue,"8:00 a.m. to 7:00 p.m., Mon. to Fri., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,A point 102 metres west of Atlas Avenue , Atlas Avenue
126,Barrie Avenue,North,A point 102 metres west of Atlas Avenue and Atlas Avenue,"8:00 a.m. to 7:00 p.m., Mon. to Fri., from the 16th day of each month to the last day of  each month, Apr. 1 to Nov. 30, inclusive",1 hour,A point 102 metres west of Atlas Avenue , Atlas Avenue
127,Barrie Avenue,South,A point 102 metres west of Atlas Avenue and Atlas Avenue,"8:00 a.m. to 7:00 p.m., Mon. to Fri., from the 1st day of each month to the 15th day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,A point 102 metres west of Atlas Avenue , Atlas Avenue
129,Barrington Avenue,West,Balfour Avenue and a point approximately 45.5 metres north,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Balfour Avenue , a point approximately 45.5 metres north
130,Barton Avenue,North,A point 94.5 metres west of Pendrith Lane and a point 50.5 metres further west,"8:30 a.m. to 9:30 a.m., 11:30 a.m. to 1:30 p.m., 3:00 p.m. to 4:00 p.m., Mon. to Fri, except public holidays",10 mins.,A point 94.5 metres west of Pendrith Lane , a point 50.5 metres further west
131,Bartor Road,East,Huxley Road and Clayson Road,Anytime,2 hours,Huxley Road , Clayson Road
132,Bathurst Street,West,A point 30.5 metres south of Robinson Street and Wolseley Street,"9:00 a.m. to 4:00 p.m., Mon. to Fri.",1 hour,A point 30.5 metres south of Robinson Street , Wolseley Street
134,Bathurst Street,East,Bridgman Avenue and a point 30.5 metres north of London Street,"9:00 a.m. to 4:00 p.m., Mon. to Fri.",1 hour,Bridgman Avenue , a point 30.5 metres north of London Street
135,Bathurst Street,East,Dewbourne Avenue and Rosemary Lane,"9:00 a.m. to 3:30 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",2 hours,Dewbourne Avenue , Rosemary Lane
136,Bathurst Street,East,A point 30.5 metres south of Lennox Street and Wolseley Street,"9:00 a.m. to 4:00 p.m., Mon. to Fri.",1 hour,A point 30.5 metres south of Lennox Street , Wolseley Street
139,Bathurst Street,East,A point 150 metres south of Transwell Avenue and a point 99 metres south of Transwell Avenue,Anytime,2 hours,A point 150 metres south of Transwell Avenue , a point 99 metres south of Transwell Avenue
140,Bathurst Street,West,Front Street West and King Street West,"9:00 a.m. to 4:00 p.m., Mon. to Fri., except public holidays",1 hour,Front Street West , King Street West
141,Bathurst Street,Both,Follis Avenue and Dupont Street,"9:00 a.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat., except public holidays",2 hours,Follis Avenue , Dupont Street
142,Bathurst Street,East,Lake Shore Boulevard and a point 183 metres north,8:00 a.m. to 6:00 p.m.,1 hour,Lake Shore Boulevard , a point 183 metres north
143,Bathurst Street,West,London Street and Davenport Road,"9:00 a.m. to 4:00 p.m., Mon. to Fri.",1 hour,London Street , Davenport Road
144,Bay Street,West,A point 53 metres south of Hagerman Street and a point 21.5 metres further south,"7:30 a.m. to 10:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 53 metres south of Hagerman Street , a point 21.5 metres further south
145,Bay Street,West,A point 16 metres south of Hagerman Street and a point 12 metres further south,"7:30 a.m. to 10:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 16 metres south of Hagerman Street , a point 12 metres further south
146,Bayham Street,North,Kelfield Street and the east limit of road,Anytime,1 hour,Kelfield Street , the east limit of road
147,Bayview Avenue,East,Airdrie Road and McRae Drive,"9:00 a.m. to 4:00 p.m., Mon. to Fri.",1 hour,Airdrie Road , McRae Drive
148,Bayview Avenue,West,Balliol Street and Soudan Avenue,9:00 a.m. to 4:00 p.m.,2 hours,Balliol Street , Soudan Avenue
149,Bayview Avenue,West,Merton Street and Balliol Street,9:00 a.m. to 4:00 p.m.,1 hour,Merton Street , Balliol Street
150,Bayview Avenue,East,St. Cuthberts Road and Parkhurst Boulevard,9:00 a.m. to 4:00 p.m.,2 hours,St. Cuthberts Road , Parkhurst Boulevard
151,Bayview Avenue,West,Glazebrook Avenue and a point 27.7 metres south,"9:00 a.m. to 4:00 p.m., 6:00 p.m. of one day to 7:00 a.m. of the next following day, Mon. to Fri.; anytime, Sat. and Sun.",1 hour,Glazebrook Avenue , a point 27.7 metres south
152,Beachdale Avenue,North,Victoria Park Avenue and Blantyre Avenue,Anytime,12 hours,Victoria Park Avenue , Blantyre Avenue
153,Beck Avenue,Both,Keystone Avenue and Oakcrest Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Keystone Avenue , Oakcrest Avenue
154,Bedford Park Avenue,South,A point 40 metres west of Avenue Road and a point 152.5 metres west of Avenue Road,8:00 a.m. to 6:00 p.m.,1 hour,A point 40 metres west of Avenue Road , a point 152.5 metres west of Avenue Road
157,Bedford Road,West,Davenport Road and Prince Arthur Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Davenport Road , Prince Arthur Avenue
158,Bedford Road,West,A point 44 metres north of Davenport Road and Dupont Street,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",2 hours,A point 44 metres north of Davenport Road , Dupont Street
159,Bedle Avenue,North and east,Don Mills Road and McNicoll Avenue,"8:00 a.m. to 11:00 a.m., Mon. to Fri., Sep. 1 to May 31",1 hour,Don Mills Road , McNicoll Avenue
160,Bedle Avenue,South and west,Don Mills Road and McNicoll Avenue,"11:00 a.m. to 2:00 p.m., Mon. to Fri., Sep. 1 to May 31",1 hour,Don Mills Road , McNicoll Avenue
161,Beecroft Road,Both,Park Home Avenue and The Northerly Limit Of R.P. M-407,"9:00 a.m. to 4:30 p.m., Mon. to Fri.",1 hour,Park Home Avenue , The Northerly Limit Of R.P. M-407
162,Belgravia Avenue,South,Locksley Avenue and Marlee Avenue,"8:00 a.m. to 7:00 p.m., from the 1st day of each month to the 15th day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,Locksley Avenue , Marlee Avenue
163,Belgravia Avenue,North,Locksley Avenue and Marlee Avenue,"8:00 a.m. to 7:00 p.m., from the 16th day of each month to the last day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,Locksley Avenue , Marlee Avenue
164,Belgravia Avenue,South,Locksley Avenue and Marlee Avenue,"8:00 a.m. to 7:00 p.m., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Locksley Avenue , Marlee Avenue
165,Belle Ayre Boulevard,East,Millwood Road and Davisville Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Millwood Road , Davisville Avenue
166,Bellefontaine Street,West,Southlawn Drive and a point 90 metres north,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,Southlawn Drive , a point 90 metres north
169,Bellwoods Avenue,East,Dundas Street West and Mansfield Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Dundas Street West , Mansfield Avenue
170,Belmore Avenue,North,Victoria Park Avenue and Townley Avenue (northwest intersection),"7:00 a.m. to 6:00 p.m., Mon. to Frii",1 hour,Victoria Park Avenue , Townley Avenue (northwest intersection)
171,Belsize Drive,South,A point 48.8 metres east of Yonge Street and a point 187.4 metres further east,11:00 a.m. to 6:00 p.m.,1 hour,A point 48.8 metres east of Yonge Street , a point 187.4 metres further east
172,Belsize Drive,South,A point 288 metres east of Yonge Street and a point opposite Wilfrid Avenue (south intersection),8:00 a.m. to 6:00 p.m.,1 hour,A point 288 metres east of Yonge Street , a point opposite Wilfrid Avenue (south intersection)
173,Belsize Drive,South,Mount Pleasant Road and Harwood Road (south intersection),"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Mount Pleasant Road , Harwood Road (south intersection)
174,Belsize Drive,South,Cleveland Street and Bayview Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Clevel, Street 
175,Belsize Drive,North,A point 22 metres west of Gresham Road and a point 11 metres further west,"Anytime, Apr. 1 to Nov. 30, inclusive",1 hour,A point 22 metres west of Gresham Road , a point 11 metres further west
176,Belsize Drive (north roadway),North,Acacia Road (north intersection) and Wilfrid Avenue (north intersection),"6:00 a.m. to 8:00 a.m., 10:00 a.m. to 6:00 p.m.",1 hour,Acacia Road (north intersection) , Wilfrid Avenue (north intersection)
