,highway,side,between,time,period,start_loc,end_loc
1240,Yonge Street,West,A point 118.5 metres north of Lawrence Avenue West and Melrose Avenue,9:00 a.m. to 6:00 p.m.,1 hour,A point 118.5 metres north of Lawrence Avenue West , Melrose Avenue
1241,Yonge Street,West,A point 6.2 metres north of a point opposite Keewatin Avenue and Lytton Boulevard,9:00 a.m. to 6:00 p.m,1 hour,A point 6.2 metres north of a point opposite Keewatin Avenue , Lytton Boulevard
1242,Yonge Street,East,Keewatin Avenue and Blythwood Road,8:00 a.m. to 4:00 p.m.,1 hour,Keewatin Avenue , Blythwood Road
1243,Yonge Street,East,Glen Echo Road and a point 61.5 metres north of Glen Echo Road,9:00 a.m. to 4:00 p.m.,1 hour,Glen Echo Road , a point 61.5 metres north of Glen Echo Road
1244,Yonge Street,West,Melrose Avenue and Deloraine Avenue,9:00 a.m. to 4:00 p.m.,1 hour,Melrose Avenue , Deloraine Avenue
1245,Ernest Avenue,South,The west end of Ernest Avenue and a point 42 metres west of Perth Avenue,"8:00 a.m. to 4:00 p.m., Sat.",1 hour,The west end of Ernest Avenue , a point 42 metres west of Perth Avenue
1246,Ernest Avenue,South,Perth Avenue and Symington Avenue,"8:00 a.m. to 4:00 p.m., Sat.",1 hour,Perth Avenue , Symington Avenue
1251,Glendale Avenue,East,The Queensway and a point 20 metres south of Garden Avenue,10:00 a.m. to 6:00 p.m.,1 hour,The Queensway , a point 20 metres south of Garden Avenue
1252,Glendale Avenue,East,A point 9 metres south of Garden Avenue and a point 11 metres further south,"10:00 a.m. to 4:00 p.m., Mon. to Fri., except public holidays; and 10:00 a.m. to 6:00 p.m. Sat., Sun. and public holidays",1 hour,A point 9 metres south of Garden Avenue , a point 11 metres further south
1253,Glendale Avenue,East,A point 9 metres south of Garden Avenue and a point 11 metres further south,"8:00 a.m. to 10:00 a.m., Mon. to Fri.",10 mins.,A point 9 metres south of Garden Avenue , a point 11 metres further south
1254,Glendale Avenue,East,A point 9 metres south of Garden Avenue and a point 11 metres further south,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays",10 mins.,A point 9 metres south of Garden Avenue , a point 11 metres further south
1255,Manor Road East,South,A point 23 metres east of Tullis Drive and Servington Crescent (west intersection),10:00 a.m. to 6:00 p.m.,1 hour,A point 23 metres east of Tullis Drive , Servington Crescent (west intersection)
