,lat,lng,geo_hash,record_date,8hr_Vehicle_Vol,8hr_Pedestrian_Vol
77,43.62635,-79.50258000000001,dpz2nvg,2014-10-06,23495,1832
78,43.62713,-79.48772000000001,dpz2pnn,2014-12-18,15868,133
79,43.62718,-79.55891000000001,dpz2jw4,2009-01-20,12955,354
80,43.62727,-79.47906,dpz2pqj,2014-12-08,11871,195
81,43.62738,-79.56237,dpz2jw0,2015-11-25,28100,223
82,43.627990154,-79.559091566,dpz2jw4,2008-04-07,34937,105
83,43.628150000000005,-79.49457000000001,dpz2pn3,2008-02-13,12464,110
84,43.628949683,-79.555132846,dpz2jwm,2008-02-07,21122,180
85,43.62899,-79.51697,dpz2nw3,2013-09-18,18102,708
86,43.62906,-79.49031000000001,dpz2pnk,2013-06-22,22123,231
87,43.629310000000004,-79.5798,dpz2jn7,2012-05-30,13528,375
88,43.62932,-79.47792000000001,dpz2pqm,2015-11-25,7324,577
89,43.630410000000005,-79.54983,dpz2jy9,2013-02-14,26788,850
90,43.630410000000005,-79.48422000000001,dpz2pq9,2015-01-15,19684,230
91,43.630456,-79.41983400000001,dpz80y8,2009-11-19,26451,68
92,43.63087,-79.48207000000001,dpz2pqf,2014-12-15,21662,531
93,43.630880000000005,-79.51774,dpz2nwb,2014-05-03,16364,302
94,43.63107,-79.54690000000001,dpz2jyg,2013-02-19,22100,243
95,43.631080000000004,-79.415553,dpz80yg,2009-12-07,21367,121
96,43.631310000000006,-79.47555,dpz2pqz,2014-12-03,6936,54
97,43.63132,-79.42941,dpz80wc,2012-06-25,28905,174
98,43.631370000000004,-79.55239,dpz2jwz,2014-11-25,13881,233
99,43.63154,-79.53102,dpz2nnz,2014-01-27,20231,300
100,43.631640000000004,-79.42724000000001,dpz80wf,2011-05-03,5836,25
101,43.632054600000004,-79.57514570000001,dpz2jnz,2012-09-18,11986,826
102,43.63215,-79.54477,dpz2jyv,2013-03-12,26144,533
103,43.632309,-79.55368800000001,dpz2jxn,2014-09-29,8575,615
104,43.632436000000006,-79.41096,dpz80zn,2010-12-14,22009,120
105,43.632630916000004,-79.425127395,dpz80xh,2016-04-27,6914,210
106,43.6328,-79.5734,dpz2jr0,2011-06-14,10736,249
107,43.63327,-79.41528000000001,dpz80z5,2008-10-14,1485,33
108,43.6333865,-79.43458600000001,dpz80rj,2013-08-08,22282,348
109,43.63359229,-79.570753276,dpz2jr6,2012-05-28,11386,280
110,43.634099308,-79.556824332,dpz2jxk,2016-06-07,11223,312
111,43.63421,-79.51910000000001,dpz2nrr,2013-04-15,19564,856
112,43.634475900000005,-79.5672014,dpz2jrk,2014-09-23,13433,120
113,43.634499000000005,-79.408721,dpz81p2,2008-12-15,34058,314
114,43.635079000000005,-79.46807600000001,dpz2pxt,2012-11-14,39052,439
115,43.635473167,-79.53293757,dpz2npt,2014-12-16,19812,237
116,43.635510000000004,-79.4067,dpz81p9,2011-11-03,25651,56
117,43.63564,-79.56230000000001,dpz2jx8,2016-06-07,22993,1170
118,43.63568,-79.39829,dpz81px,2014-04-22,7829,1701
119,43.6357092,-79.403524,dpz81ps,2011-05-26,20230,132
120,43.635866,-79.401893,dpz81pt,2011-05-26,21335,717
121,43.635883246000006,-79.47317952200001,dpz2px9,2010-04-19,14172,320
122,43.6359325,-79.5197797,dpz2nrx,2011-04-21,17753,263
123,43.63613,-79.54011,dpz2np8,2011-05-24,25608,1576
124,43.636190000000006,-79.49343,dpz2ppd,2011-04-21,6703,529
125,43.6362217,-79.465271,dpz2pxx,2014-12-15,34551,83
126,43.63627,-79.40961,dpz80zx,2011-11-02,12615,793
127,43.6364,-79.40682000000001,dpz81pc,2011-09-28,7407,517
128,43.636444000000004,-79.399607,dpz81py,2013-05-27,26327,2277
129,43.636616078,-79.396928931,dpz81rb,2012-02-22,5781,1156
130,43.636654,-79.438553,dpz80rf,2016-08-10,5774,908
