,Car_Park_No,Name,Address,lat,lon,geohash
171,526,Humber Bay Park West,South Limit of Park Lawn Road,43.630978661466465,-79.49112142235958,dpz2pnu
172,527,Humber Bay Park West,South Limit of Park Lawn Road,43.630978661466465,-79.49112142235958,dpz2pnu
173,528,Assembly Hall,1 Colonel Samuel Smith Park Drive,43.59746145602735,-79.51658065326959,dpz2n89
174,529,Primrose,15 Primrose Avenue,43.61419332558126,-79.48970953926946,dpz2p5t
175,531,Bloor/Islington,3326 Bloor Street West,43.64432911798127,-79.52520616654155,dpz2q35
176,600,East York Civic Centre,550 Mortimer Avenue,43.690461106872746,-79.3271897647873,dpz8dce
177,602,Bayview/Millwood,1503 Bayview Avenue,43.70381861671185,-79.37439723478,dpz89u1
178,650,John/Weston,16 John Street,43.644345403273405,-79.38893133359596,dpz833n
179,651,Locust,7 Locust Street,43.688104942264445,-79.49049280777899,dpz2x1h
180,652,Scott,1 Scott Road,43.68261679600666,-79.46919149497967,dpz2x8h
181,653,Riverview Gardens East ,17 Riverview Gardens,43.64900966362736,-79.48632851566747,dpz2r4p
182,654,Riverview Gardens West,16 Riverview Gardens,43.64895432526415,-79.48633704651147,dpz2r4p
183,655,China House,935 Eglinton Avenue West,43.70037881652157,-79.42826768705645,dpz88e6
184,656,Mould Avenue,1A Mould Avenue,43.66827621906977,-79.48699221237207,dpz2rjx
185,657,Scarlett Road,271A Scarlett Road ,43.67792483906143,-79.50636542320339,dpz2qz3
186,658,Dufferin,Rear of 2050 Dufferin Street,43.6866219328294,-79.44657516114586,dpz880u
187,659,Oakwood Library,341 Oakwood Avenue,43.68651883542036,-79.43841935856099,dpz882f
188,660,Oakwood Avenue,406 Oakwood Avenue,43.68831560921002,-79.43915795117991,dpz8834
189,661,Rogers Road,433 Rogers Road,43.6825978642738,-79.46392769816495,dpz2xb0
190,662,Emmett Avenue,Opposite 75 & 85 Emmett Avenue,43.687296525102546,-79.5064317171793,dpz2wc1
191,663,Shortt Street,1 Shortt Street,43.69546688926078,-79.45157809074392,dpz8849
192,664,Eglinton/Oakwood,1607 Eglinton Avenue West,43.69712583484345,-79.44343753774024,dpz884z
193,665,Douglas Saunders ,Rear of 1775 Eglinton Avenue West,43.695974809308225,-79.44880603774024,dpz884e
194,667,Eglinton/Alameda,1531-1535 Eglinton Avenue West,43.6976778420568,-79.44088717984307,dpz886b
195,668,York Civic Centre,2700 Eglinton Avenue West,43.69003766942706,-79.47796398061027,dpz2x3t
196,669,York Civic Centre,2700 Eglinton Avenue West,43.69003766942706,-79.47796398061027,dpz2x3t
197,700,Bushby,101 Grangeway Avenue,43.77554958090485,-79.25016776698033,dpz9h95
198,701,Fallingbrook ,197 Blantyre Avenue,43.68193282682202,-79.28163708682013,dpz8ebh
199,702,Bluffer’s Park,Brimley Road at Kingston Road,43.71833699999999,-79.24040099999999,dpz8syd
200,703,Bluffer’s Park,Brimley Road at Kingston Road,43.71833699999999,-79.24040099999999,dpz8syd
201,704,Bluffer’s Park,Brimley Road at Kingston Road,43.71833699999999,-79.24040099999999,dpz8syd
202,705,Bluffer’s Park,Brimley Road at Kingston Road,43.71833699999999,-79.24040099999999,dpz8syd
203,706,Milner ,284 Milner Avenue,43.789320216803944,-79.23829624023301,dpz9hgs
204,707,Markham,1530 Markham Road,43.790102036903534,-79.2372846275892,dpz9hgt
205,212,Adelaide,363 Adelaide Street West,43.64688677655963,-79.39474689855159,dpz833d
206,248,Broadview/Thompson,134 and 136 Broadview Avenue,43.659829823475135,-79.35027252625636,dpz86k4
207,251,Manning,250 Manning Avenue,43.652468326389325,-79.41142547810011,dpz82fw
208,256,Queen/Callender,1624 Queen Street West,43.63943021622701,-79.44258726187311,dpz820r
209,532,Barkwin,6 and 8 Barkwin Drive,43.73836599304623,-79.56512337914398,dpz2v6q
210,670,Dufferin/Jeffrey,2053 Dufferin Street,43.68656847679404,-79.44645064934976,dpz880u
