,geohash,capacity
297,dpz84ry,122.0
298,dpz8680,56.0
299,dpz8682,111.0
300,dpz82sy,6.0
301,dpz2jzj,33.0
302,dpz9n96,92.0
303,dpz9n3c,19.0
304,dpxryxs,61.0
305,dpz9hhx,175.0
306,dpz9hby,439.0
307,dpz9hby,439.0
308,dpz2x3w,91.0
309,dpz2x3v,84.0
310,dpz8dcc,50.0
311,dpz91v7,135.0
312,dpz2m2v,29.0
313,dpz2yy4,57.0
314,dpz8d9v,61.0
315,dpz2n3q,52.0
316,dpz8c58,6.0
317,dpz2z1b,49.0
318,dpz2z4b,10.0
319,dpz2z4b,9.0
320,dpz2z4b,10.0
321,dpz2z4d,26.0
322,dpz2ycu,102.0
323,dpz2wwu,106.0
324,dpz8dq6,198.0
325,dpz8deg,192.0
326,dpz8dsp,13.0
327,dpz8dsp,13.0
328,dpz8dsm,133.0
329,dpz8dss,178.0
330,dpz8bkt,45.0
331,dpz8bkz,141.0
332,dpz8bt8,29.0
333,dpz8bmj,104.0
334,dpz8bkv,46.0
335,dpz91br,43.0
336,dpz2m8s,23.0
337,dpz8yw7,149.0
338,dpz8yyg,103.0
339,dpz8e88,108.0
340,dpz8d3g,51.0
341,dpz8e4w,66.0
342,dpz2yx2,68.0
343,dpz9097,97.0
344,dpz8f1m,420.0
345,dpz2wbf,163.0
346,dpz2x09,148.0
347,dpz89h7,0.0
348,dpz89he,123.0
349,dpz8gw2,89.0
350,dpz3n2h,110.0
351,dpz2v0k,29.0
352,dpz2r4s,94.0
353,dpz8845,23.0
354,dpz881e,38.0
355,dpz2wy7,36.0
356,dpz8fyu,57.0
357,dpz2x10,82.0
358,dpz2sz5,28.0
359,dpz8dty,53.0
360,dpz8dvu,41.0
361,dpz8dy2,69.0
362,dpz2yyw,23.0
363,dpz3p9t,59.0
364,dpz3pc3,141.0
365,dpz3p8v,62.0
366,dpz3p9z,79.0
367,dpz3pcb,78.0
368,dpz8vvu,24.0
369,dpz2uv2,30.0
370,dpz2msk,10.0
371,dpz2xuv,27.0
372,dpz2xuv,26.0
373,dpz97cz,20.0
374,dpz97cy,103.0
375,dpz2v7y,36.0
376,dpz2v7v,79.0
377,dpz90ey,98.0
378,dpz2zhu,29.0
379,dpz2zhs,41.0
380,dpz8vur,0.0
381,dpz2y5c,77.0
382,dpz836m,0.0
383,dpz90f1,26.0
384,dpz900c,362.0
385,dpz9n20,78.0
386,dpz8yrc,98.0
387,dpz2rdx,11.0
388,dpz2r9x,66.0
389,dpz2rdp,15.0
390,dpz2rdp,15.0
391,dpz2rdp,8.0
392,dpz2rdr,12.0
393,dpz2rdr,15.0
394,dpz2rdr,27.0
395,dpz2rbd,16.0
396,dpz2rbg,67.0
397,dpz2rbg,5.0
398,dpz2rbq,19.0
399,dpz2rdw,24.0
400,dpz2rdm,39.0
401,dpz2r9z,14.0
402,dpz2r9q,18.0
403,dpz2r9r,118.0
404,dpz2rdq,0.0
405,dpz8s7z,98.0
406,dpz8bqd,6.0
407,dpz8bqd,15.0
408,dpz2y19,90.0
409,dpz2qkg,25.0
410,dpz2u0q,136.0
411,dpz9hnn,24.0
412,dpz8cs5,65.0
413,dpz2zyt,15.0
414,dpz2q1z,7.0
415,dpz8u5h,76.0
416,dpz2qw1,9.0
417,dpz8deb,47.0
418,dpz2x3h,189.0
419,dpz8ue7,26.0
420,dpz95qb,68.0
421,dpz95qb,68.0
422,dpz95ru,58.0
423,dpz95rk,52.0
424,dpz95rs,55.0
425,dpz95qs,131.0
426,dpz95qh,71.0
427,dpz95q8,54.0
428,dpz95q8,29.0
429,dpz95mg,145.0
430,dpz80r5,116.0
431,dpz2quc,80.0
432,dpz88nx,29.0
433,dpz88q8,29.0
434,dpz89qb,31.0
435,dpz8d5g,151.0
436,dpz8d7f,45.0
437,dpz8b8k,18.0
438,dpz9jn6,88.0
439,dpz9jrh,272.0
440,dpz8gkd,32.0
441,dpz2ucs,87.0
442,dpz823v,23.0
443,dpz9h1z,30.0
444,dpz8guj,40.0
445,dpz8gun,44.0
446,dpz8ggy,98.0
447,dpz88u0,89.0
448,dpz9k4f,104.0
449,dpz9k5h,306.0
450,dpz90bz,42.0
451,dpz910b,19.0
452,dpz8f9r,30.0
453,dpz9jcg,122.0
454,dpz9j9x,65.0
455,dpz9jcv,72.0
456,dpz83gh,13.0
457,dpz2jqt,81.0
458,dpz9jpv,9.0
459,dpz9m0j,162.0
460,dpz2nx3,38.0
461,dpz2uux,75.0
462,dpz8ejd,15.0
463,dpz8eje,15.0
464,dpz2ygt,32.0
465,dpz2ygt,38.0
466,dpz2ygz,85.0
467,dpz2ys5,31.0
468,dpz8ef7,62.0
469,dpz9461,108.0
470,dpz8eqw,10.0
471,dpz2wmz,63.0
472,dpz2wjb,40.0
473,dpz2tv6,24.0
474,dpz2tvw,147.0
475,dpz9p1u,104.0
476,dpz8eff,34.0
477,dpz83rj,27.0
478,dpz2wde,18.0
479,dpz2r90,40.0
480,dpz2v2e,40.0
481,dpz2w7k,33.0
482,dpz904b,25.0
483,dpz2z0e,36.0
484,dpz95dc,37.0
485,dpz9hur,143.0
486,dpz8s6z,25.0
487,dpz2vj9,46.0
488,dpz2vhv,122.0
489,dpz2vk4,84.0
490,dpz2usc,26.0
491,dpz2rmw,150.0
492,dpz8se5,37.0
493,dpz8v6u,197.0
494,dpz2qw5,137.0
495,dpz2qwe,67.0
496,dpz2qxn,14.0
497,dpz2qxq,19.0
498,dpz2wbq,83.0
499,dpz94kd,15.0
500,dpz9je2,18.0
501,dpz89qm,67.0
502,dpz2tbj,32.0
503,dpz2pxt,151.0
504,dpz2usp,40.0
505,dpz2qyy,33.0
506,dpz2qyz,48.0
507,dpz8e4u,25.0
508,dpz2ye4,0.0
509,dpz957n,51.0
510,dpz957n,46.0
511,dpz2vbc,59.0
512,dpz2v8r,37.0
513,dpz8dqf,44.0
514,dpz8dph,111.0
515,dpz89zx,14.0
516,dpz8dp9,76.0
517,dpz8dpu,137.0
518,dpz8dpg,127.0
519,dpz8dpp,153.0
520,dpz8drb,161.0
521,dpz2tpt,42.0
522,dpz9nv7,17.0
523,dpz9jgc,185.0
524,dpz9jgb,185.0
525,dpz957p,125.0
526,dpz957p,47.0
527,dpz8edb,78.0
528,dpz8e5m,40.0
529,dpz8dg8,31.0
530,dpz8edc,21.0
531,dpz2txr,43.0
532,dpz81p8,0.0
533,dpz2v9b,33.0
534,dpz2v98,31.0
535,dpz8umz,88.0
536,dpz8utb,87.0
537,dpz8uw0,35.0
538,dpz8d0e,88.0
539,dpz89uq,56.0
540,dpz82ce,27.0
541,dpz2w4k,30.0
542,dpz94ek,87.0
543,dpz8epe,181.0
544,dpz88ke,29.0
545,dpz8eg5,35.0
546,dpz2v24,18.0
547,dpz2ms7,43.0
548,dpz2mse,15.0
549,dpz2v8q,110.0
550,dpz9pkn,154.0
551,dpz2we0,112.0
552,dpz2tcp,42.0
553,dpz8g93,26.0
554,dpz2vq1,13.0
555,dpz8cp2,38.0
556,dpz950h,91.0
557,dpz87k9,77.0
