,geohash,parking_spots
233,dpz8suw,238.0
234,dpz8sux,141.0
235,dpz8th2,177.0
236,dpz8tjg,154.0
237,dpz8u5h,76.0
238,dpz8ue7,26.0
239,dpz8umz,88.0
240,dpz8uqt,31.0
241,dpz8urc,73.0
242,dpz8utb,87.0
243,dpz8uw0,35.0
244,dpz8v6u,197.0
245,dpz8vj7,55.0
246,dpz8vtf,39.0
247,dpz8vur,0.0
248,dpz8vvu,24.0
249,dpz8yrc,98.0
250,dpz8yw7,149.0
251,dpz8yyg,103.0
252,dpz900c,362.0
253,dpz904b,25.0
254,dpz904h,42.0
255,dpz9097,97.0
256,dpz90bz,42.0
257,dpz90ey,98.0
258,dpz90f1,26.0
259,dpz910b,19.0
260,dpz912w,29.0
261,dpz9177,61.0
262,dpz91br,43.0
263,dpz91v7,135.0
264,dpz944e,21.0
265,dpz9461,108.0
266,dpz94ek,87.0
267,dpz94kd,15.0
268,dpz950h,91.0
269,dpz957n,97.0
270,dpz957p,172.0
271,dpz95dc,37.0
272,dpz95mg,145.0
273,dpz95q8,83.0
274,dpz95qb,136.0
275,dpz95qh,71.0
276,dpz95qs,131.0
277,dpz95rk,52.0
278,dpz95rs,55.0
279,dpz95ru,58.0
280,dpz97cy,103.0
281,dpz97cz,20.0
282,dpz9h1z,30.0
283,dpz9h53,291.0
284,dpz9hby,878.0
285,dpz9hhx,175.0
286,dpz9hnn,24.0
287,dpz9hur,143.0
288,dpz9j92,19.0
289,dpz9j9x,65.0
290,dpz9jcg,122.0
291,dpz9jcv,72.0
292,dpz9je2,18.0
293,dpz9jgb,185.0
294,dpz9jgc,185.0
295,dpz9jmc,11.0
296,dpz9jn6,88.0
297,dpz9jpv,9.0
298,dpz9jrh,272.0
299,dpz9k4f,104.0
300,dpz9k5h,306.0
301,dpz9m0j,162.0
302,dpz9n20,78.0
303,dpz9n3c,19.0
304,dpz9n96,92.0
305,dpz9nv7,17.0
306,dpz9p1u,104.0
307,dpz9ph0,128.0
308,dpz9pkn,154.0
