,geohash,SearchingByHour
404,dpxrvzt,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0.1667, 8: 0, 9: 0, 10: 0, 11: 0.2857, 12: 0.1429, 13: 0, 14: 0.1429, 15: 0.125, 16: 0, 17: 0.0667, 18: 0.3333, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
405,dpz2jsu,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.5, 10: 0.6, 11: 0.2, 12: 0.2, 13: 0.3333, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
406,dpz2jcj,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.1429, 8: 0.0385, 9: 0.0769, 10: 0, 11: 0, 12: 0, 13: 0.2, 14: 0.1667, 15: 0, 16: 0, 17: 0.0769, 18: 0.25, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
407,dpz2pqn,"{0: 0, 1: 0, 2: 0.5, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0.0667, 10: 0.0556, 11: 0, 12: 0.1429, 13: 0.125, 14: 0, 15: 0, 16: 0, 17: 0.2, 18: 0, 19: 0.2, 20: 0, 21: 0, 22: 0, 23: 0}"
408,dpz2nch,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.5, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.3333, 15: 0.1429, 16: 0.6667, 17: 0, 18: 0, 19: 0, 20: 0.5, 21: 1, 22: 0, 23: 0.5}"
409,dpz8v7x,"{0: 0.1818, 1: 0, 2: 0, 3: 0, 4: 0.25, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.1667, 10: 0, 11: 0.2, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0.1, 18: 0.1111, 19: 0, 20: 0, 21: 0, 22: 0.1818, 23: 0}"
410,dpz9hfn,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.2, 10: 0, 11: 0.125, 12: 0, 13: 0, 14: 0, 15: 0.25, 16: 0.6667, 17: 0, 18: 1, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0.25}"
411,dpz2jgk,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0.6667, 12: 0.875, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0.5, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
412,dpz2wf4,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.2, 10: 0.3333, 11: 0, 12: 0.2857, 13: 0.4, 14: 0.5, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
413,dpz2vuq,"{0: 0, 1: 0.25, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.0125, 9: 0, 10: 0.0625, 11: 0.0345, 12: 0, 13: 0.0278, 14: 0.0526, 15: 0, 16: 0.0357, 17: 0.0119, 18: 0, 19: 0, 20: 0.0192, 21: 0, 22: 0, 23: 0}"
414,dpz2nt7,"{0: 0, 1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.2857, 10: 0.3333, 11: 0.3333, 12: 0.3333, 13: 0.25, 14: 0, 15: 0, 16: 0.25, 17: 0, 18: 0.3333, 19: 0, 20: 0, 21: 0.5, 22: 0, 23: 0}"
415,dpz9jgu,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0.2222, 9: 0, 10: 0.4, 11: 0, 12: 0, 13: 0.25, 14: 0, 15: 0, 16: 1, 17: 0, 18: 0, 19: 0, 20: 1, 21: 0.5, 22: 0, 23: 0}"
416,dpz2jdb,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0.0096, 6: 0, 7: 0, 8: 0.0435, 9: 0, 10: 0, 11: 0.0455, 12: 0.0667, 13: 0.0417, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0.5, 23: 1}"
417,dpz95hu,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0.6, 10: 0, 11: 0.6667, 12: 0.3333, 13: 0, 14: 0, 15: 0.5, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
418,dpz88nx,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.125, 10: 0, 11: 0.1111, 12: 0, 13: 0, 14: 0.0769, 15: 0.0303, 16: 0, 17: 0, 18: 0.0556, 19: 0.0667, 20: 0, 21: 0.0769, 22: 0.2, 23: 0}"
419,dpz2vur,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.3333, 7: 0, 8: 0, 9: 0.0833, 10: 0, 11: 0, 12: 0.1429, 13: 0, 14: 0.0833, 15: 0.3333, 16: 0.25, 17: 0, 18: 0, 19: 0, 20: 0, 21: 1, 22: 0, 23: 0}"
420,dpz90sy,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.0333, 7: 0.1667, 8: 0, 9: 0, 10: 0.2, 11: 0, 12: 0.2, 13: 0.5, 14: 0, 15: 0, 16: 0.5, 17: 0, 18: 0, 19: 0, 20: 0.3333, 21: 0, 22: 0, 23: 0}"
421,dpz2n9r,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.1667, 11: 0.0625, 12: 0.1, 13: 0.1111, 14: 0.1111, 15: 0.25, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0.125}"
422,dpz2td7,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.0313, 8: 0.0667, 9: 0.125, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.0625, 15: 0.1111, 16: 0, 17: 0, 18: 0.08, 19: 0.0588, 20: 0, 21: 0.1429, 22: 0, 23: 0}"
423,dpz2uhe,"{0: 1, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.069, 7: 0, 8: 0.0441, 9: 0.05, 10: 0, 11: 0.0278, 12: 0, 13: 0.0385, 14: 0, 15: 0, 16: 1, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
424,dpz978n,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.3333, 10: 0.3333, 11: 0.4286, 12: 0, 13: 0.25, 14: 0.1667, 15: 0.3333, 16: 0.5, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
425,dpz2ns3,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.0769, 7: 0.0667, 8: 0, 9: 0.0294, 10: 0, 11: 0.1667, 12: 0.0556, 13: 0, 14: 0.0645, 15: 0, 16: 0, 17: 0.0417, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
426,dpz89pj,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.25, 9: 0, 10: 0, 11: 0, 12: 0.2143, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0.0909, 18: 0, 19: 0.25, 20: 0.1429, 21: 0, 22: 0, 23: 0}"
427,dpz9jvg,"{0: 0, 1: 1, 2: 0, 3: 0, 4: 0, 5: 0.5, 6: 0, 7: 0, 8: 0.1207, 9: 0, 10: 0, 11: 0.0732, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0.0119, 17: 0, 18: 0.0833, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
428,dpz95hw,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.2308, 9: 0.1667, 10: 0, 11: 0, 12: 0.4, 13: 0.25, 14: 0.2727, 15: 0.2222, 16: 0.2, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
429,dpz9jgv,"{0: 1, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.25, 8: 0.5, 9: 0.25, 10: 0, 11: 0.2, 12: 0, 13: 0.1667, 14: 0, 15: 0.3333, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
430,dpz2pqq,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.25, 8: 0, 9: 0.0933, 10: 0.125, 11: 0.0833, 12: 0.0769, 13: 0.0769, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0.3333, 22: 0, 23: 0}"
431,dpz9hmt,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.1154, 8: 0, 9: 0, 10: 0.2, 11: 0.3333, 12: 0, 13: 0.5, 14: 0, 15: 0.1667, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
432,dpz9kdr,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.125, 8: 0, 9: 0, 10: 0.0455, 11: 0, 12: 0.0143, 13: 0.027, 14: 0.037, 15: 0, 16: 0.0345, 17: 0.0571, 18: 0.0263, 19: 0.0526, 20: 0, 21: 0, 22: 0, 23: 0}"
433,dpz9jpu,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.2414, 10: 0, 11: 0, 12: 1, 13: 0, 14: 0.5, 15: 0, 16: 0, 17: 1, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
434,dpz2njk,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.3333, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.1429, 14: 0, 15: 0, 16: 0.1111, 17: 0.2, 18: 0.0625, 19: 0.15, 20: 0, 21: 0, 22: 0, 23: 0}"
435,dpz9k9d,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.4286, 9: 0, 10: 0, 11: 0.125, 12: 0.3333, 13: 0.2, 14: 0.75, 15: 0, 16: 0.0909, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
436,dpz95hv,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.5, 8: 0, 9: 0, 10: 0, 11: 1, 12: 0.3333, 13: 0, 14: 0.4, 15: 0.3333, 16: 0.25, 17: 0, 18: 0, 19: 0.5, 20: 0, 21: 0, 22: 0, 23: 1}"
437,dpz2n0j,"{0: 0, 1: 0, 2: 1, 3: 0.6667, 4: 0.3333, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.0625, 11: 0, 12: 0.0526, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0.0345, 18: 0.0303, 19: 0.1429, 20: 0, 21: 0, 22: 0, 23: 1}"
438,dpz94k0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.4444, 9: 0.2, 10: 0.25, 11: 0.1667, 12: 0, 13: 0.25, 14: 0, 15: 0.1429, 16: 0.5, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
439,dpz2jtw,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0.1111, 6: 0.125, 7: 0, 8: 0, 9: 0, 10: 0.3333, 11: 0.3333, 12: 0, 13: 0, 14: 0.25, 15: 0, 16: 0.2, 17: 0.3333, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 1}"
440,dpz3pdf,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0.5, 6: 0.1667, 7: 0, 8: 0, 9: 0, 10: 0.0909, 11: 0.0588, 12: 0.1389, 13: 0, 14: 0.0667, 15: 0, 16: 0, 17: 0, 18: 0.125, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
441,dpz2sxj,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.25, 9: 0.4, 10: 0, 11: 0, 12: 0.2308, 13: 0.4286, 14: 0.0476, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
442,dpz9m0j,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.5, 8: 0, 9: 0.3333, 10: 0.5, 11: 0, 12: 0, 13: 0.6667, 14: 0, 15: 0.3333, 16: 0.5, 17: 0, 18: 0.1667, 19: 1, 20: 0, 21: 0, 22: 0, 23: 0}"
443,dpz95dv,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.1, 10: 0.2222, 11: 0.1429, 12: 0.0909, 13: 0.1429, 14: 0.25, 15: 0, 16: 0, 17: 0.2, 18: 0, 19: 0, 20: 0.5, 21: 0, 22: 0, 23: 0}"
444,dpz973n,"{0: 0, 1: 0, 2: 0, 3: 0.0556, 4: 0, 5: 0.0066, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.0313, 11: 0.0114, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0.029, 17: 0.0019, 18: 0, 19: 0, 20: 0, 21: 0.0024, 22: 0, 23: 0}"
445,dpz88rp,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.3, 8: 0.1667, 9: 0, 10: 0.2308, 11: 0.125, 12: 0, 13: 0.0909, 14: 0.2, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
446,dpz2ysm,"{0: 0.3333, 1: 0.1667, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0.25, 11: 0, 12: 0.3333, 13: 0, 14: 0.5, 15: 0.3333, 16: 0, 17: 1, 18: 0, 19: 0, 20: 0.5, 21: 0, 22: 0, 23: 0}"
447,dpz9h7z,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.3333, 7: 0, 8: 0.5, 9: 0, 10: 0.4, 11: 0.25, 12: 0.3333, 13: 0.3333, 14: 0.4, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
448,dpz90f4,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.0288, 9: 0.027, 10: 0, 11: 0.0833, 12: 0.0667, 13: 0, 14: 0.0625, 15: 0, 16: 0.0185, 17: 0.2, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
449,dpz2nwb,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0.3333, 6: 1, 7: 0, 8: 0.1667, 9: 0.0909, 10: 0.0769, 11: 0.05, 12: 0, 13: 0.1, 14: 0, 15: 0.0714, 16: 0.0714, 17: 0.0556, 18: 0.125, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
450,dpz9hfq,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.2857, 10: 0, 11: 0, 12: 0.125, 13: 0.25, 14: 0.3333, 15: 0.1429, 16: 0, 17: 0.125, 18: 0.1667, 19: 0, 20: 0.25, 21: 0, 22: 0, 23: 0}"
451,dpz9hsf,"{0: 0, 1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.0909, 9: 0.75, 10: 0, 11: 0.5, 12: 0, 13: 0.25, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
452,dpz8fhu,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.1429, 8: 0.5, 9: 0.1667, 10: 0, 11: 0, 12: 0.1, 13: 0.25, 14: 0.25, 15: 0, 16: 0, 17: 0.3333, 18: 0.25, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
453,dpz2nt3,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.25, 8: 0.125, 9: 0, 10: 0, 11: 0, 12: 0.0769, 13: 0.0833, 14: 0, 15: 0, 16: 0.2, 17: 0.1538, 18: 0.2857, 19: 0, 20: 0.5, 21: 0, 22: 0, 23: 0}"
454,dpz9hph,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.3333, 8: 0, 9: 0.0588, 10: 0.0714, 11: 0, 12: 0.125, 13: 0.0909, 14: 0, 15: 0, 16: 0.0769, 17: 0.3333, 18: 1, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
455,dpz2n2t,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.0556, 9: 0.0556, 10: 0, 11: 0, 12: 0.1111, 13: 0.25, 14: 0.2857, 15: 0, 16: 0, 17: 0, 18: 0.25, 19: 0.1667, 20: 0, 21: 0, 22: 0, 23: 0}"
456,dpz2nt2,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.0714, 14: 0.1429, 15: 0, 16: 0, 17: 0.1111, 18: 0.08, 19: 0, 20: 0, 21: 0.2, 22: 0.3333, 23: 0}"
457,dpz94xv,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.5, 9: 0.5556, 10: 0.125, 11: 0.5, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
458,dpz9hue,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.3, 10: 0, 11: 0.1667, 12: 0.0909, 13: 0, 14: 0.1818, 15: 0, 16: 0, 17: 0, 18: 0.2, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
459,dpz95j6,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.1667, 9: 0, 10: 0.25, 11: 0.5714, 12: 0, 13: 0, 14: 0.2222, 15: 0, 16: 0.1429, 17: 0, 18: 0.4, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
460,dpz9hud,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.1364, 10: 0, 11: 0.1111, 12: 0.1364, 13: 0.0714, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0.125, 19: 0.1111, 20: 0, 21: 0, 22: 0, 23: 0}"
461,dpz90sd,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.25, 8: 0, 9: 0.1875, 10: 0.1818, 11: 0.15, 12: 0.1111, 13: 0.1875, 14: 0.0769, 15: 0, 16: 0, 17: 0.0625, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
462,dpz2nv3,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.1071, 10: 0, 11: 0.2143, 12: 0.0714, 13: 0.25, 14: 0, 15: 0, 16: 0.1429, 17: 0, 18: 0.1667, 19: 0, 20: 0, 21: 0, 22: 1, 23: 0}"
463,dpz2td5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.0364, 8: 0, 9: 0.1, 10: 0, 11: 0, 12: 0.0645, 13: 0.0244, 14: 0.0417, 15: 0, 16: 0, 17: 0.1, 18: 0.3333, 19: 0.0833, 20: 0, 21: 0, 22: 0, 23: 0}"
464,dpz9k9r,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.6667, 8: 0.5, 9: 0.25, 10: 0, 11: 0.1667, 12: 0, 13: 0, 14: 0.4, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0.3333, 20: 0.5, 21: 0.2, 22: 0, 23: 0}"
465,dpz9hkq,"{0: 0, 1: 0, 2: 0, 3: 0.1667, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.0435, 10: 0.0488, 11: 0, 12: 0.0417, 13: 0.0161, 14: 0.0323, 15: 0.0139, 16: 0, 17: 0, 18: 0.0741, 19: 0, 20: 0, 21: 0, 22: 0.025, 23: 0}"
466,dpz9hfp,"{0: 0, 1: 0.3333, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.1, 9: 0, 10: 0, 11: 0, 12: 0.1429, 13: 0.0476, 14: 0, 15: 0.05, 16: 0.3333, 17: 0.5, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0.25, 23: 0.5}"
467,dpz8842,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.3333, 7: 0, 8: 0, 9: 0, 10: 0.1111, 11: 0, 12: 0.5, 13: 0.25, 14: 0.3333, 15: 0, 16: 0, 17: 0.2, 18: 0, 19: 0, 20: 0, 21: 0, 22: 1, 23: 0}"
468,dpz9k9y,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.1237, 9: 0, 10: 0.0952, 11: 0, 12: 0.0667, 13: 0, 14: 0.1875, 15: 0.1111, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
469,dpz8v7w,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.5, 8: 0, 9: 0, 10: 0.1667, 11: 0, 12: 0.2, 13: 0.1818, 14: 0.125, 15: 0.1111, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0.0833, 23: 0}"
470,dpz90g9,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.2222, 11: 0.2, 12: 0, 13: 0.1538, 14: 0.0714, 15: 0, 16: 0.0769, 17: 0.25, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
471,dpz91yc,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.2857, 8: 0.1, 9: 0.0667, 10: 0.25, 11: 0.1, 12: 0.1, 13: 0.1364, 14: 0.0769, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
472,dpz9jnf,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.5, 14: 1, 15: 0.3333, 16: 0.5, 17: 0, 18: 0.4286, 19: 0.3333, 20: 0, 21: 1, 22: 0, 23: 0}"
473,dpz8ch1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0.6, 9: 0, 10: 0.25, 11: 0.375, 12: 1, 13: 0, 14: 0.2, 15: 0, 16: 0.5, 17: 0, 18: 0.5, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
474,dpz9hdj,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.125, 7: 0, 8: 0.0588, 9: 0.1563, 10: 0, 11: 0.0417, 12: 0, 13: 0.0556, 14: 0.0714, 15: 0, 16: 0.2, 17: 0, 18: 0, 19: 0, 20: 0, 21: 1, 22: 1, 23: 0}"
475,dpz2nvd,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.1667, 8: 0.0667, 9: 0.0278, 10: 0, 11: 0, 12: 0.2222, 13: 0.0909, 14: 0.1333, 15: 0, 16: 0.1538, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
476,dpz9n51,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.2, 7: 0, 8: 0.4545, 9: 0.5, 10: 0, 11: 0, 12: 0, 13: 0, 14: 1, 15: 0.5, 16: 0, 17: 0, 18: 1, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
477,dpz2jdg,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.1, 7: 0, 8: 0.087, 9: 0, 10: 0.1111, 11: 0, 12: 0.0789, 13: 0.1, 14: 0.0882, 15: 0, 16: 0.0769, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0.25}"
478,dpz9jsu,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.0476, 9: 0.0385, 10: 0.1667, 11: 0.0769, 12: 0.1176, 13: 0.0952, 14: 0.0347, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
479,dpz2vh1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.1111, 9: 0.125, 10: 0, 11: 0.3077, 12: 0.25, 13: 0, 14: 0.2, 15: 0, 16: 0, 17: 0.2, 18: 0, 19: 0.5, 20: 0, 21: 0, 22: 0.25, 23: 0}"
480,dpz2jsm,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.1667, 7: 0.0909, 8: 0.125, 9: 0, 10: 0, 11: 0, 12: 0.04, 13: 0.0588, 14: 0.0417, 15: 0, 16: 0.087, 17: 0, 18: 0.0882, 19: 0, 20: 0.125, 21: 0, 22: 0, 23: 0}"
481,dpz2jeg,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.3333, 7: 0.5, 8: 0, 9: 0, 10: 0.0714, 11: 0.1667, 12: 0.0909, 13: 0.2727, 14: 0, 15: 0, 16: 0.2, 17: 0, 18: 0.125, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
482,dpz9kck,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0.2, 9: 0, 10: 0, 11: 0.4286, 12: 0.3333, 13: 0, 14: 0, 15: 0, 16: 1, 17: 1, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
483,dpz2n6m,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0.2, 6: 0.0405, 7: 0.0112, 8: 0.0128, 9: 0.0484, 10: 0.0811, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0.0769, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
