,geohash,SearchingByHour
16,dpz88ns,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0.5, 6: 0.1429, 7: 0.4038, 8: 0.2716, 9: 0.0817, 10: 0.1053, 11: 0.1957, 12: 0.2159, 13: 0.25, 14: 0.1379, 15: 0.0441, 16: 0.1875, 17: 0.2143, 18: 0.5, 19: 0.4, 20: 0.4, 21: 0.6667, 22: 0, 23: 0}"
17,dpz9jdk,"{0: 0.25, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.1429, 9: 0.0667, 10: 0, 11: 0.3182, 12: 0.1667, 13: 0.3846, 14: 0.1667, 15: 0.1667, 16: 0.05, 17: 0.2273, 18: 0.1667, 19: 0.0909, 20: 0.3, 21: 0.1111, 22: 0.5, 23: 0}"
18,dpz2tqd,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0.1111, 6: 0.0417, 7: 0.0337, 8: 0.0275, 9: 0.0049, 10: 0.025, 11: 0.0417, 12: 0.0422, 13: 0.0435, 14: 0.0294, 15: 0, 16: 0.25, 17: 0.0333, 18: 0.3333, 19: 0, 20: 0, 21: 0.1667, 22: 0, 23: 0}"
19,dpxrypb,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.5357, 11: 0.7857, 12: 0.2857, 13: 0.3333, 14: 0.5455, 15: 0.75, 16: 0.5909, 17: 0.7857, 18: 0.1905, 19: 0.4231, 20: 0.6, 21: 0, 22: 0.5, 23: 0}"
20,dpz9hpp,"{0: 0, 1: 0.5, 2: 1, 3: 0, 4: 0.5, 5: 1, 6: 1, 7: 0.55, 8: 0.2857, 9: 0.625, 10: 0.5, 11: 0.4, 12: 0.1667, 13: 0.2778, 14: 0.1786, 15: 0.25, 16: 0.75, 17: 0.4, 18: 0.2857, 19: 0, 20: 1, 21: 1, 22: 1, 23: 0.1667}"
21,dpz90su,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.125, 11: 0, 12: 0.25, 13: 0.3333, 14: 0, 15: 0.2609, 16: 0.1892, 17: 0.5417, 18: 0.4, 19: 0.4, 20: 0, 21: 0.2, 22: 0.5, 23: 0}"
22,dpz2nfd,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.1111, 5: 0.0215, 6: 0.0138, 7: 0.0137, 8: 0.0315, 9: 0.0541, 10: 0.0476, 11: 0.0163, 12: 0.0105, 13: 0.03, 14: 0.0386, 15: 0.0422, 16: 0.0472, 17: 0.0315, 18: 0.0319, 19: 0.0488, 20: 0, 21: 0, 22: 0, 23: 1}"
23,dpz2jsj,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.0256, 8: 0, 9: 0.0333, 10: 0.0952, 11: 0, 12: 0.0526, 13: 0.0455, 14: 0.12, 15: 0.0909, 16: 0.0952, 17: 0.1, 18: 0.0809, 19: 0.0851, 20: 0.0526, 21: 0, 22: 0.25, 23: 0}"
24,dpz2pm6,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.25, 7: 0.1471, 8: 0.0577, 9: 0.0682, 10: 0.1952, 11: 0.2857, 12: 0.0926, 13: 0.0952, 14: 0.1522, 15: 0.1379, 16: 0.1818, 17: 0, 18: 0.0833, 19: 0.2, 20: 0, 21: 0, 22: 0, 23: 0}"
25,dpz9p5e,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.1429, 9: 0.3095, 10: 0.6111, 11: 0.2308, 12: 0.0909, 13: 0, 14: 0.0588, 15: 0.0667, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
26,dpz2wxn,"{0: 1, 1: 0, 2: 0.3333, 3: 0.6667, 4: 0, 5: 0, 6: 0, 7: 0.0833, 8: 0, 9: 0.1, 10: 0.0714, 11: 0.0909, 12: 0.0444, 13: 0.069, 14: 0.1346, 15: 0.0455, 16: 0.1, 17: 0.0625, 18: 0.0938, 19: 0.0667, 20: 0.0833, 21: 0.1429, 22: 0, 23: 0}"
